Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Marcus,"Outnumbered: Series 4: ""The Cold Caller""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-26 18:21:29,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1748,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":11150,""mediaOffsetMs"":7542},{""eventType"":""stopped"",""sessionOffsetMs"":12278,""mediaOffsetMs"":7542}]"
Marcus,"Outnumbered: Series 4: ""The Parents' Evening""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-26 17:52:42,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1850,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1727611,""mediaOffsetMs"":1725178},{""eventType"":""stopped"",""sessionOffsetMs"":1729363,""mediaOffsetMs"":1725637}]"
Marcus,"Outnumbered: Series 4: ""The Labrador""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-26 17:23:50,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":8553,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1738937,""mediaOffsetMs"":1730002},{""eventType"":""stopped"",""sessionOffsetMs"":1740392,""mediaOffsetMs"":1730300}]"
Marcus,"Outnumbered: Series 4: ""The Girl's Day Out""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-25 21:01:42,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1000},{""eventType"":""playing"",""sessionOffsetMs"":1718,""mediaOffsetMs"":1000},{""eventType"":""paused"",""sessionOffsetMs"":1673236,""mediaOffsetMs"":1671954},{""eventType"":""playing"",""sessionOffsetMs"":1677168,""mediaOffsetMs"":1671954},{""eventType"":""paused"",""sessionOffsetMs"":1723209,""mediaOffsetMs"":1714792},{""eventType"":""stopped"",""sessionOffsetMs"":1724549,""mediaOffsetMs"":1717072}]"
Marcus,"Outnumbered: Series 4: ""The Funeral""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-25 20:31:41,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1843,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":723116,""mediaOffsetMs"":720615},{""eventType"":""playing"",""sessionOffsetMs"":753896,""mediaOffsetMs"":720615},{""eventType"":""paused"",""sessionOffsetMs"":763162,""mediaOffsetMs"":730181},{""eventType"":""playing"",""sessionOffsetMs"":795827,""mediaOffsetMs"":730181},{""eventType"":""paused"",""sessionOffsetMs"":993273,""mediaOffsetMs"":927747},{""eventType"":""playing"",""sessionOffsetMs"":1005440,""mediaOffsetMs"":927747},{""eventType"":""paused"",""sessionOffsetMs"":1801912,""mediaOffsetMs"":1724021},{""eventType"":""stopped"",""sessionOffsetMs"":1802331,""mediaOffsetMs"":1724341}]"
Marcus,"Outnumbered: Series 3: ""The Hospital""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-25 20:02:58,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":9278,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1729562,""mediaOffsetMs"":1719647},{""eventType"":""stopped"",""sessionOffsetMs"":1730034,""mediaOffsetMs"":1720138}]"
Marcus,"Outnumbered: Series 3: ""The Restaurant""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-23 19:57:51,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1769,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1740002,""mediaOffsetMs"":1736604},{""eventType"":""stopped"",""sessionOffsetMs"":1741618,""mediaOffsetMs"":1738018}]"
Marcus,"Outnumbered: Series 3: ""The Pigeon""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-23 19:29:18,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3134,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1713240,""mediaOffsetMs"":1709415},{""eventType"":""stopped"",""sessionOffsetMs"":1715112,""mediaOffsetMs"":1709877}]"
Marcus,"Outnumbered: Series 3: ""The Pigeon""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-23 19:24:01,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2471,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5775,""mediaOffsetMs"":2825},{""eventType"":""stopped"",""sessionOffsetMs"":314369,""mediaOffsetMs"":2825}]"
Marcus,"Outnumbered: Series 3: ""The Tennis Match""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-23 18:55:33,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1757,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1708065,""mediaOffsetMs"":1705821},{""eventType"":""stopped"",""sessionOffsetMs"":1708640,""mediaOffsetMs"":1706155}]"
Marcus,"Outnumbered: Series 3: ""The Internet""",Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-23 18:26:09,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":11177,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":53409,""mediaOffsetMs"":42002},{""eventType"":""playing"",""sessionOffsetMs"":73727,""mediaOffsetMs"":42002},{""eventType"":""paused"",""sessionOffsetMs"":1486516,""mediaOffsetMs"":1454333},{""eventType"":""playing"",""sessionOffsetMs"":1489266,""mediaOffsetMs"":1454333},{""eventType"":""paused"",""sessionOffsetMs"":1772991,""mediaOffsetMs"":1738303},{""eventType"":""stopped"",""sessionOffsetMs"":1774435,""mediaOffsetMs"":1738720}]"
Marcus,TIM,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:43:06,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1989,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":995718,""mediaOffsetMs"":993249},{""eventType"":""playing"",""sessionOffsetMs"":1062955,""mediaOffsetMs"":993249},{""eventType"":""paused"",""sessionOffsetMs"":1367367,""mediaOffsetMs"":1297663},{""eventType"":""playing"",""sessionOffsetMs"":1373766,""mediaOffsetMs"":1297663},{""eventType"":""paused"",""sessionOffsetMs"":1390341,""mediaOffsetMs"":1313983},{""eventType"":""playing"",""sessionOffsetMs"":1413394,""mediaOffsetMs"":1313983},{""eventType"":""paused"",""sessionOffsetMs"":3929690,""mediaOffsetMs"":3830102},{""eventType"":""playing"",""sessionOffsetMs"":4015709,""mediaOffsetMs"":3830102},{""eventType"":""paused"",""sessionOffsetMs"":6203302,""mediaOffsetMs"":6016655},{""eventType"":""stopped"",""sessionOffsetMs"":6205844,""mediaOffsetMs"":6016655}]"
Marcus,TIM,Amazon Fire TV Stick 2020 + Streaming Stick,2023-08-21 13:42:01,GB,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2413,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":28055,""mediaOffsetMs"":25276},{""eventType"":""stopped"",""sessionOffsetMs"":34694,""mediaOffsetMs"":25276}]"
