Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Фйж,GB,Streaming Stick,0,the toot,The Tooth Fairy,select,suggestion_results,2021-11-15 17:33:38
Фйж,GB,Streaming Stick,0,the ,The Wilding,select,title_results,2021-11-15 17:32:40
Фйж,GB,Streaming Stick,0,jum,Jumanji: The Next Level,play,suggestion_results,2021-11-15 11:19:57
Фйж,GB,Streaming Stick,0,jum,Jumanji: The Next Level,play,suggestion_results,2021-11-15 11:18:52
Фйж,GB,Streaming Stick,0,jum,Jumanji: The Next Level,select,suggestion_results,2021-11-15 11:18:40
Фйж,GB,Streaming Stick,0,jum,,select,suggestion_results,2021-11-15 11:18:38
Фйж,GB,Streaming Stick,0,jum,Jumanji,play,suggestion_results,2021-11-15 11:16:29
Фйж,GB,Streaming Stick,0,jum,Jumanji,select,suggestion_results,2021-11-15 11:16:20
Фйж,GB,Streaming Stick,0,jum,Jumanji: Welcome to the Jungle,select,suggestion_results,2021-11-15 11:16:18
Фйж,GB,Streaming Stick,0,,,play,prequery_results,2021-11-07 16:20:35
Фйж,GB,Streaming Stick,0,,,select,prequery_results,2021-11-07 16:20:19
Фйж,GB,Streaming Stick,0,work,Work It,play,title_results,2021-10-26 07:50:59
Фйж,GB,Streaming Stick,0,work,Work It,select,title_results,2021-10-26 07:50:51
Фйж,GB,Streaming Stick,0,harr,Harry Potter and the Chamber of Secrets,select,suggestion_results,2021-10-26 07:37:24
Фйж,GB,Streaming Stick,0,sp,,select,suggestion_results,2021-10-25 07:45:08
Фйж,GB,Streaming Stick,0,h,,play,title_results,2021-10-17 08:13:24
Фйж,GB,Streaming Stick,0,h,,select,title_results,2021-10-17 08:13:18
Фйж,GB,Streaming Stick,0,mul,The Little Prince,play,suggestion_results,2021-09-30 08:33:55
Фйж,GB,Streaming Stick,0,mul,The Little Prince,select,suggestion_results,2021-09-30 08:33:44
Фйж,GB,Streaming Stick,0,mul,Bee Movie,play,suggestion_results,2021-09-30 07:50:50
Фйж,GB,Streaming Stick,0,mul,Bee Movie,select,suggestion_results,2021-09-30 07:50:43
Фйж,GB,Streaming Stick,0,mul,Mulan,select,suggestion_results,2021-09-30 07:50:05
Фйж,GB,Streaming Stick,0,dis,Radio Rebel,play,suggestion_results,2021-09-26 07:17:09
Фйж,GB,Streaming Stick,0,dis,Radio Rebel,select,suggestion_results,2021-09-26 07:17:04
Фйж,GB,Streaming Stick,0,dis,,select,suggestion_results,2021-09-26 07:16:47
Фйж,GB,Streaming Stick,0,sp,,select,suggestion_results,2021-09-25 18:23:50
Фйж,GB,Streaming Stick,0,ze,,play,title_results,2021-09-25 07:32:31
Фйж,GB,Streaming Stick,0,ze,,select,title_results,2021-09-25 07:32:26
Фйж,GB,Streaming Stick,0,ze,Zero Dark Thirty,select,title_results,2021-09-25 07:32:22
Фйж,GB,Streaming Stick,0,wo,Wonder Woman,select,suggestion_results,2021-09-12 08:18:22
Фйж,GB,Streaming Stick,0,h2,,play,title_results,2021-09-08 18:44:21
Фйж,GB,Streaming Stick,0,h2,,play,title_results,2021-09-08 18:44:00
Фйж,GB,Streaming Stick,0,h2,,select,title_results,2021-09-08 18:43:51
Фйж,GB,Streaming Stick,0,go li,,play,title_results,2021-08-28 15:01:57
Фйж,GB,Streaming Stick,0,go li,,select,title_results,2021-08-28 15:01:52
Фйж,GB,Streaming Stick,0,go li,,play,title_results,2021-08-28 10:20:03
Фйж,GB,Streaming Stick,0,go li,,select,title_results,2021-08-28 10:19:51
Фйж,GB,Streaming Stick,0,go li,,select,title_results,2021-08-28 10:19:47
Фйж,GB,Streaming Stick,0,ac,,select,title_results,2021-08-22 10:59:03
Фйж,GB,Streaming Stick,0,ac,,play,title_results,2021-08-22 10:59:00
Фйж,GB,Streaming Stick,0,leg,Legally Blonde,select,suggestion_results,2021-08-21 17:42:25
Фйж,GB,Streaming Stick,0,fam,,play,title_results,2021-08-13 12:21:55
Фйж,GB,Streaming Stick,0,fam,,select,title_results,2021-08-13 12:21:48
Фйж,GB,Streaming Stick,0,gree,,play,title_results,2021-07-23 18:45:48
Фйж,GB,Streaming Stick,0,gree,,select,title_results,2021-07-23 18:45:39
Фйж,GB,Streaming Stick,0,se,,play,title_results,2021-07-19 18:17:28
Фйж,GB,Streaming Stick,0,se,,select,title_results,2021-07-19 18:17:22
Фйж,GB,Streaming Stick,0,a,Hubie Halloween,play,suggestion_results,2021-07-19 14:15:47
Фйж,GB,Streaming Stick,0,a,Hubie Halloween,select,suggestion_results,2021-07-19 14:15:43
Фйж,GB,Streaming Stick,0,a,,select,suggestion_results,2021-07-19 14:15:42
Фйж,GB,Streaming Stick,0,a,,select,suggestion_results,2021-07-19 14:15:20
Фйж,GB,Streaming Stick,0,a,,select,suggestion_results,2021-07-19 14:15:18
Фйж,GB,Streaming Stick,0,got,,play,title_results,2021-07-19 13:27:57
Фйж,GB,Streaming Stick,0,got,,select,title_results,2021-07-19 13:27:41
Фйж,GB,Streaming Stick,0,angry,,play,suggestion_results,2021-07-17 11:14:02
Фйж,GB,Streaming Stick,0,angry,,select,suggestion_results,2021-07-17 11:13:57
Фйж,GB,Streaming Stick,0,angry,The Angry Birds Movie,play,suggestion_results,2021-07-17 09:39:51
Фйж,GB,Streaming Stick,0,angry,The Angry Birds Movie,select,suggestion_results,2021-07-17 09:39:47
Фйж,GB,Streaming Stick,0,angry,,select,suggestion_results,2021-07-17 09:39:41
Фйж,GB,Streaming Stick,0,ci,The Princess Switch: Switched Again,play,suggestion_results,2021-07-15 14:21:37
Фйж,GB,Streaming Stick,0,ci,The Princess Switch: Switched Again,select,suggestion_results,2021-07-15 14:21:30
Фйж,GB,Streaming Stick,0,ci,Cinderella,select,suggestion_results,2021-07-15 14:21:26
Фйж,GB,Streaming Stick,0,ci,The Princess Switch,play,suggestion_results,2021-07-15 12:44:56
Фйж,GB,Streaming Stick,0,ci,The Princess Switch,select,suggestion_results,2021-07-15 12:44:46
Фйж,GB,Streaming Stick,0,ci,Cinderella,select,suggestion_results,2021-07-15 12:44:34
Фйж,GB,Streaming Stick,0,ci,Radio Rebel,play,suggestion_results,2021-07-15 12:40:03
Фйж,GB,Streaming Stick,0,ci,Radio Rebel,select,suggestion_results,2021-07-15 12:39:43
Фйж,GB,Streaming Stick,0,ci,Another Cinderella Story,select,suggestion_results,2021-07-15 12:39:42
Фйж,GB,Streaming Stick,0,ci,Radio Rebel,play,suggestion_results,2021-07-14 15:12:59
Фйж,GB,Streaming Stick,0,ci,Radio Rebel,select,suggestion_results,2021-07-14 15:12:43
Фйж,GB,Streaming Stick,0,ci,A Cinderella Story: Once Upon a Song,select,suggestion_results,2021-07-14 15:12:40
Фйж,GB,Streaming Stick,0,ci,DJ Cinderella,play,title_results,2021-07-14 15:03:49
Фйж,GB,Streaming Stick,0,ci,DJ Cinderella,select,title_results,2021-07-14 15:03:42
Фйж,GB,Streaming Stick,0,ci,A Cinderella Story,play,suggestion_results,2021-07-14 14:26:04
Фйж,GB,Streaming Stick,0,ci,A Cinderella Story,select,suggestion_results,2021-07-14 14:25:55
Фйж,GB,Streaming Stick,0,ci,Cinderella,select,suggestion_results,2021-07-14 14:25:53
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-11 08:40:28
Фйж,GB,Streaming Stick,0,,,play,suggestion_results,2021-07-11 07:45:01
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-11 07:44:56
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-11 07:44:52
Фйж,GB,Streaming Stick,0,,,play,suggestion_results,2021-07-10 19:18:28
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-10 19:18:18
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-10 19:18:12
Фйж,GB,Streaming Stick,0,,,select,suggestion_results,2021-07-10 09:19:59
Фйж,GB,Streaming Stick,0,bac,Back of the Net,play,title_results,2021-07-04 07:29:11
Фйж,GB,Streaming Stick,0,bac,Back of the Net,select,title_results,2021-07-04 07:29:05
Фйж,GB,Streaming Stick,0,f,,play,title_results,2021-07-03 06:40:28
Фйж,GB,Streaming Stick,0,f,,select,title_results,2021-07-03 06:40:04
Фйж,GB,Streaming Stick,0,,,select,prequery_results,2021-06-14 11:52:44
Фйж,GB,Streaming Stick,0,wish,Wish Dragon,select,title_results,2021-06-14 11:52:20
Фйж,GB,Streaming Stick,0,ave,,play,suggestion_results,2021-06-12 13:10:41
Фйж,GB,Streaming Stick,0,ave,,select,suggestion_results,2021-06-12 13:10:36
