Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,"Not funny, Axel.",true,tvui,2019-06-09 07:22:18
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_complete,Zombie-sized chickens,true,tvui,2019-06-09 07:20:43
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Cool mask.,false,tvui,2019-06-09 07:19:48
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Chicken-sized zombies,true,tvui,2019-06-09 07:18:18
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,"Not funny, Axel.",true,tvui,2019-06-09 07:17:21
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Zombie-sized chickens,false,tvui,2019-06-09 07:15:47
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Gabriel is awesome.,false,tvui,2019-06-09 07:14:38
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,"Not funny, Axel.",false,tvui,2019-06-09 07:12:21
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Chicken-sized zombies,false,tvui,2019-06-09 07:10:50
Emily,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Male Jesse,false,tvui,2019-06-09 07:08:02
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Monkey Sounds,true,tvui,2019-04-28 08:29:54
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Bushwhack,true,tvui,2019-04-28 08:29:24
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Slingshot,true,tvui,2019-04-28 08:29:01
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Vine Swing,true,tvui,2019-04-28 08:27:57
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Climb Tree,false,tvui,2019-04-28 08:27:20
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Along Shore,false,tvui,2019-04-28 08:26:18
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Into Current,false,tvui,2019-04-28 08:23:28
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Sneak,false,tvui,2019-04-28 08:20:54
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Follow River,true,tvui,2019-04-28 08:20:13
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grappling Hook,true,tvui,2019-04-28 08:19:50
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Slingshot,true,tvui,2019-04-28 08:18:58
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_complete,Grappling Hook,true,tvui,2019-04-28 08:18:31
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Monkey Sounds,false,tvui,2019-04-28 08:16:42
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Bushwhack,false,tvui,2019-04-28 08:16:16
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Slingshot,true,tvui,2019-04-28 08:15:50
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Cross Log,false,tvui,2019-04-28 08:09:49
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grub,false,tvui,2019-04-28 08:07:39
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Scare,false,tvui,2019-04-28 08:03:13
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Follow River,false,tvui,2019-04-28 08:01:31
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grappling Hook,true,tvui,2019-04-28 08:00:05
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Rope,false,tvui,2019-04-18 12:37:29
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Rock,false,tvui,2019-04-18 12:35:35
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Cave,false,tvui,2019-04-18 12:33:19
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Mud,false,tvui,2019-04-18 12:28:52
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Sawgrass,false,tvui,2019-04-18 12:26:38
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Mangrove Swamp,false,tvui,2019-04-18 12:24:18
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 2""",countdown_interrupted,Rope,false,tvui,2019-04-18 12:20:16
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Vine Swing,false,tvui,2019-04-18 12:13:07
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Cross Log,false,tvui,2019-04-18 12:10:09
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grub,false,tvui,2019-04-18 12:07:44
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Follow River,false,tvui,2019-04-18 12:03:59
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Slingshot,false,tvui,2019-04-18 12:02:00
Emily,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Grappling Hook,false,tvui,2019-04-18 12:00:53
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Blow Door,false,tvui,2019-04-17 09:40:33
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Rappel,false,tvui,2019-04-17 09:38:08
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Draft,false,tvui,2019-04-17 09:36:53
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Birch,false,tvui,2019-04-17 09:34:01
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Enter Mine,false,tvui,2019-04-17 09:33:29
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_complete,Make Fire,false,tvui,2019-04-17 09:29:55
Emily,"You vs. Wild: Season 1: ""Myth of the Abandoned Mine""",countdown_interrupted,Back Flip,false,tvui,2019-04-17 09:28:17
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Fight,false,tvui,2019-04-17 09:24:19
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Flight,false,tvui,2019-04-17 09:22:54
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Jump,false,tvui,2019-04-17 09:21:31
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Leave Cave,false,tvui,2019-04-17 09:17:57
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Follow Tracks,false,tvui,2019-04-17 09:16:04
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_complete,Cave,false,tvui,2019-04-17 09:13:54
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Float,false,tvui,2019-04-17 09:10:51
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Fight,false,tvui,2019-04-17 09:09:18
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Gutweed,false,tvui,2019-04-17 09:06:48
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Limpets,false,tvui,2019-04-17 09:03:12
Emily,"You vs. Wild: Season 1: ""Land of the Dragons""",countdown_interrupted,Coasteer,false,tvui,2019-04-17 09:00:57
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Head,false,tvui,2019-04-17 08:55:24
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Tank,false,tvui,2019-04-17 08:49:34
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Town,false,tvui,2019-04-17 08:47:45
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_interrupted,Oasis,false,tvui,2019-04-17 08:44:55
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 2""",countdown_complete,Oasis,false,tvui,2019-04-17 08:44:37
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_complete,Follow Tracks,false,tvui,2019-04-17 08:35:46
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_complete,Slot Canyon,false,tvui,2019-04-17 08:33:27
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_complete,Rappel,false,tvui,2019-04-17 08:29:00
Emily,"You vs. Wild: Season 1: ""A Venomous Adventure, Pt. 1""",countdown_complete,Chopper,false,tvui,2019-04-17 08:25:17
Emily,"You vs. Wild: Season 1: ""Lost on Snow Mountain""",countdown_complete,Fern Fire,false,tvui,2019-04-17 08:19:51
