Subscription Opened Ts,Is Free Trial At Signup,Subscription Closed Ts,Is Customer Initiated Cancel,Signup Plan Category,Signup Max Concurrent Streams,Signup Max Streaming Quality,Plan Change Date,Plan Change Old Category,Plan Change Old Max Concurrent Streams,Plan Change Old Max Streaming Quality,Plan Change New Category,Plan Change New Max Concurrent Streams,Plan Change New Max Streaming Quality,Cancellation Reason
2015-12-29 19:37:21.202+0000,1,,,STREAMING ONLY,1,HD720p,20190131,STREAMING ONLY,1,HD720p,STREAMING ONLY,2,HD,
2015-12-29 19:37:21.202+0000,1,,,STREAMING ONLY,1,HD720p,20190228,STREAMING ONLY,2,HD,STREAMING ONLY,1,HD720p,
